"grid","D","K"
"0000-0000-0000-0000",2.37312874726525e-07,22.0067062922922
"0000-0000-0000-0001",9.36636202435552e-08,23.3479359575931
"0000-0000-0000-0010",4.75591749537042e-08,24.3257010713602
"0000-0000-0000-0011",3.91986333015007e-08,24.6046214048482
"0000-0000-0000-0100",4.75591749537042e-08,24.3257010713602
"0000-0000-0000-0101",9.21538870162008e-09,26.6933078345141
"0000-0000-0000-0110",1.32655990181926e-08,26.1677349360718
"0000-0000-0000-0111",6.20308416924209e-09,27.2643671531094
"0000-0000-0000-1000",9.36636202435552e-08,23.3479359575931
"0000-0000-0000-1001",6.49271230830383e-09,27.1985315689364
"0000-0000-0000-1010",9.21538870162008e-09,26.6933078345141
"0000-0000-0000-1011",6.8310415192157e-09,27.1252472930328
"0000-0000-0000-1100",3.91986333015007e-08,24.6046214048482
"0000-0000-0000-1101",6.8310415192157e-09,27.1252472930328
"0000-0000-0000-1110",6.20308416924209e-09,27.2643671531094
"0000-0000-0000-1111",7.56184407386109e-09,26.9786147529006
"0000-0000-0001-0000",4.75591749537042e-08,24.3257010713602
"0000-0000-0001-0001",3.91986333015007e-08,24.6046214048482
"0000-0000-0001-0010",2.26465713641032e-08,25.3961321128198
"0000-0000-0001-0011",9.42738160261482e-09,26.6604957271442
"0000-0000-0001-0100",2.49830769053371e-08,25.2544735894907
"0000-0000-0001-0101",1.97640408643611e-09,28.914474910152
"0000-0000-0001-0110",1.14673835593494e-08,26.3778885008355
"0000-0000-0001-0111",2.04458558702632e-09,28.8655443981682
"0000-0000-0001-1000",9.56231221932904e-09,26.6399933420547
"0000-0000-0001-1001",1.5458293159022e-09,29.2689718223662
"0000-0000-0001-1010",9.59898126166327e-09,26.6344715530207
"0000-0000-0001-1011",5.18122109106879e-09,27.5240607069582
"0000-0000-0001-1100",1.406916670372e-08,26.0828878767229
"0000-0000-0001-1101",8.66306125146081e-10,30.1044040310934
"0000-0000-0001-1110",1.07268407903339e-08,26.4741995149912
"0000-0000-0001-1111",2.54276890436396e-09,28.5509525031175
"0000-0000-0010-0000",8.0844925178811e-08,23.560267543831
"0000-0000-0010-0001",3.28915580200139e-08,24.8577074111715
"0000-0000-0010-0010",2.847207898806e-08,25.065876918767
"0000-0000-0010-0011",1.9106289917491e-08,25.6413770978575
"0000-0000-0010-0100",2.49868011049492e-08,25.2542585445662
"0000-0000-0010-0101",3.76860353052139e-09,27.9833228272612
"0000-0000-0010-0110",6.90266074252474e-09,27.1102002746871
"0000-0000-0010-0111",6.86799703844317e-09,27.1174634367523
"0000-0000-0010-1000",2.88413477034414e-08,25.0472861784438
"0000-0000-0010-1001",2.04945569421133e-09,28.8621120523193
"0000-0000-0010-1010",2.44737209891632e-09,28.6061193882658
"0000-0000-0010-1011",2.54878491912192e-09,28.5475432182519
"0000-0000-0010-1100",1.24497128262561e-08,26.25931229463
"0000-0000-0010-1101",2.35140233968222e-09,28.6638314397074
"0000-0000-0010-1110",2.50753224649591e-09,28.5710846001835
"0000-0000-0010-1111",3.96254838724226e-09,27.9109243016722
"0000-0000-0011-0000",2.847207898806e-08,25.065876918767
"0000-0000-0011-0001",1.9106289917491e-08,25.6413770978575
"0000-0000-0011-0010",1.64231473354413e-08,25.8596941271037
"0000-0000-0011-0011",8.60977654931888e-09,26.7913770583354
"0000-0000-0011-0100",1.54067273182395e-08,25.9518643205543
"0000-0000-0011-0101",1.94661048953956e-09,28.9363886196597
"0000-0000-0011-0110",6.65800947570108e-09,27.1622619302583
"0000-0000-0011-0111",1.97554465575641e-09,28.9151023962254
"0000-0000-0011-1000",1.01845400314379e-08,26.5490439343521
"0000-0000-0011-1001",5.08496485494145e-10,30.8730431460351
"0000-0000-0011-1010",4.22123702183449e-09,27.8196870153031
"0000-0000-0011-1011",2.12795036295803e-09,28.8078883553791
"0000-0000-0011-1100",1.526778602502e-08,25.9649338863747
"0000-0000-0011-1101",4.02213558103537e-10,31.2113192350099
"0000-0000-0011-1110",5.56366774353903e-09,27.4213165877835
"0000-0000-0011-1111",2.15115499131016e-09,28.792241378905
"0000-0000-0100-0000",8.0844925178811e-08,23.560267543831
"0000-0000-0100-0001",2.88413477034414e-08,25.0472861784438
"0000-0000-0100-0010",2.49868011049492e-08,25.2542585445662
"0000-0000-0100-0011",1.24497128262561e-08,26.25931229463
"0000-0000-0100-0100",2.847207898806e-08,25.065876918767
"0000-0000-0100-0101",2.44737209891632e-09,28.6061193882658
"0000-0000-0100-0110",6.90266074252474e-09,27.1102002746871
"0000-0000-0100-0111",2.50753224649591e-09,28.5710846001835
"0000-0000-0100-1000",3.28915580200139e-08,24.8577074111715
"0000-0000-0100-1001",2.04945569421133e-09,28.8621120523193
"0000-0000-0100-1010",3.76860353052139e-09,27.9833228272612
"0000-0000-0100-1011",2.35140233968222e-09,28.6638314397074
"0000-0000-0100-1100",1.9106289917491e-08,25.6413770978575
"0000-0000-0100-1101",2.54878491912192e-09,28.5475432182519
"0000-0000-0100-1110",6.86799703844317e-09,27.1174634367523
"0000-0000-0100-1111",3.96254838724226e-09,27.9109243016722
"0000-0000-0101-0000",1.65345868469102e-08,25.8499377620344
"0000-0000-0101-0001",8.37142777414642e-09,26.8318791539091
"0000-0000-0101-0010",1.00160916182151e-08,26.5731050951762
"0000-0000-0101-0011",3.85168182955987e-09,27.9518643205543
"0000-0000-0101-0100",8.64644559165311e-09,26.785245667035
"0000-0000-0101-0101",1.64552327474838e-09,29.1788064214914
"0000-0000-0101-0110",3.30021381008031e-09,28.1747933589848
"0000-0000-0101-0111",9.61702930593715e-10,29.9536896336169
"0000-0000-0101-1000",6.28272474556174e-09,27.2459624788858
"0000-0000-0101-1001",7.0616554182708e-10,30.3992745240492
"0000-0000-0101-1010",6.52966782753129e-09,27.190343252071
"0000-0000-0101-1011",7.62887966687835e-10,30.2878097421039
"0000-0000-0101-1100",7.23411450799895e-09,27.0425364195515
"0000-0000-0101-1101",7.19343478915942e-10,30.372600142043
"0000-0000-0101-1110",7.17853799071114e-09,27.0536628049691
"0000-0000-0101-1111",8.86073030779374e-10,30.0718553372252
"0000-0000-0110-0000",2.80678600917038e-08,25.0865056828783
"0000-0000-0110-0001",1.10640240936729e-08,26.4295485557964
"0000-0000-0110-0010",1.43046507099601e-08,26.0589404886423
"0000-0000-0110-0011",1.30020402764153e-08,26.1966867307907
"0000-0000-0110-0100",1.43046507099601e-08,26.0589404886423
"0000-0000-0110-0101",1.64752861300103e-09,29.1770493329252
"0000-0000-0110-0110",3.05498958947017e-09,28.2861853902255
"0000-0000-0110-0111",4.1095110334724e-09,27.8583861076585
"0000-0000-0110-1000",1.10640240936729e-08,26.4295485557964
"0000-0000-0110-1001",4.56071214031931e-10,31.0300218347708
"0000-0000-0110-1010",1.64752861300103e-09,29.1770493329252
"0000-0000-0110-1011",6.29962688226267e-10,30.5640145664595
"0000-0000-0110-1100",1.30020402764153e-08,26.1966867307907
"0000-0000-0110-1101",6.29962688226267e-10,30.5640145664595
"0000-0000-0110-1110",4.1095110334724e-09,27.8583861076585
"0000-0000-0110-1111",1.14476166537161e-09,29.7023055875221
"0000-0000-0111-0000",1.43536382587034e-08,26.0540082917097
"0000-0000-0111-0001",5.99080479135411e-09,27.3146030295191
"0000-0000-0111-0010",8.04398468517751e-09,26.889442519066
"0000-0000-0111-0011",6.71673723881449e-09,27.1495922627215
"0000-0000-0111-0100",5.34365348953368e-09,27.4795263950402
"0000-0000-0111-0101",1.21895918071977e-09,29.6117030387412
"0000-0000-0111-0110",3.86084909014343e-09,27.9484346895424
"0000-0000-0111-0111",1.19489512168793e-09,29.6404688584253
"0000-0000-0111-1000",7.60051845444797e-09,26.971255021463
"0000-0000-0111-1001",4.10234911114149e-10,31.1828306780502
"0000-0000-0111-1010",3.84108218451014e-09,27.9558400216151
"0000-0000-0111-1011",5.13939546465631e-10,30.8576822803952
"0000-0000-0111-1100",1.01358389595878e-08,26.5559592511778
"0000-0000-0111-1101",4.76411073451697e-10,30.9670740020272
"0000-0000-0111-1110",6.66001481395373e-09,27.1618274676816
"0000-0000-0111-1111",1.10264956206589e-09,29.7563784995036
"0000-0000-1000-0000",4.75591749537042e-08,24.3257010713602
"0000-0000-1000-0001",9.56231221932904e-09,26.6399933420547
"0000-0000-1000-0010",2.49830769053371e-08,25.2544735894907
"0000-0000-1000-0011",1.406916670372e-08,26.0828878767229
"0000-0000-1000-0100",2.26465713641032e-08,25.3961321128198
"0000-0000-1000-0101",9.59898126166327e-09,26.6344715530207
"0000-0000-1000-0110",1.14673835593494e-08,26.3778885008355
"0000-0000-1000-0111",1.07268407903339e-08,26.4741995149912
"0000-0000-1000-1000",3.91986333015007e-08,24.6046214048482
"0000-0000-1000-1001",1.5458293159022e-09,29.2689718223662
"0000-0000-1000-1010",1.97640408643611e-09,28.914474910152
"0000-0000-1000-1011",8.66306125146081e-10,30.1044040310934
"0000-0000-1000-1100",9.42738160261482e-09,26.6604957271442
"0000-0000-1000-1101",5.18122109106879e-09,27.5240607069582
"0000-0000-1000-1110",2.04458558702632e-09,28.8655443981682
"0000-0000-1000-1111",2.54276890436396e-09,28.5509525031175
"0000-0000-1001-0000",1.52033287240418e-08,25.9710375270155
"0000-0000-1001-0001",1.81196634971857e-09,29.0397966908454
"0000-0000-1001-0010",1.18584245186167e-08,26.3295124094309
"0000-0000-1001-0011",3.53884906214601e-09,28.0740726242766
"0000-0000-1001-0100",1.18584245186167e-08,26.3295124094309
"0000-0000-1001-0101",2.14342011519278e-09,28.7974382047637
"0000-0000-1001-0110",4.36819966806463e-09,27.7703140514045
"0000-0000-1001-0111",1.27081149839551e-09,29.5516028051528
"0000-0000-1001-1000",1.81196634971857e-09,29.0397966908454
"0000-0000-1001-1001",8.13537081411984e-09,26.873144747855
"0000-0000-1001-1010",2.14342011519278e-09,28.7974382047637
"0000-0000-1001-1011",3.74282061013014e-09,27.9932269511071
"0000-0000-1001-1100",3.53884906214601e-09,28.0740726242766
"0000-0000-1001-1101",3.74282061013014e-09,27.9932269511071
"0000-0000-1001-1110",1.27081149839551e-09,29.5516028051528
"0000-0000-1001-1111",1.93142721419804e-09,28.9476855433303
"0000-0000-1010-0000",1.65345868469102e-08,25.8499377620344
"0000-0000-1010-0001",6.28272474556174e-09,27.2459624788858
"0000-0000-1010-0010",8.64644559165311e-09,26.785245667035
"0000-0000-1010-0011",7.23411450799895e-09,27.0425364195515
"0000-0000-1010-0100",1.00160916182151e-08,26.5731050951762
"0000-0000-1010-0101",6.52966782753129e-09,27.190343252071
"0000-0000-1010-0110",3.30021381008031e-09,28.1747933589848
"0000-0000-1010-0111",7.17853799071114e-09,27.0536628049691
"0000-0000-1010-1000",8.37142777414642e-09,26.8318791539091
"0000-0000-1010-1001",7.0616554182708e-10,30.3992745240492
"0000-0000-1010-1010",1.64552327474838e-09,29.1788064214914
"0000-0000-1010-1011",7.19343478915942e-10,30.372600142043
"0000-0000-1010-1100",3.85168182955987e-09,27.9518643205543
"0000-0000-1010-1101",7.62887966687835e-10,30.2878097421039
"0000-0000-1010-1110",9.61702930593715e-10,29.9536896336169
"0000-0000-1010-1111",8.86073030779374e-10,30.0718553372252
"0000-0000-1011-0000",1.76598680835417e-08,25.7549501927791
"0000-0000-1011-0001",1.62174569260978e-09,29.1998052469929
"0000-0000-1011-0010",6.4188012698489e-09,27.2150489590561
"0000-0000-1011-0011",2.52729915212921e-09,28.5597564102223
"0000-0000-1011-0100",1.04340614054466e-08,26.5141239301977
"0000-0000-1011-0101",1.62804818426097e-09,29.1942094552632
"0000-0000-1011-0110",5.15371930931812e-09,27.5317388891756
"0000-0000-1011-0111",1.34357662927749e-09,29.4712742479117
"0000-0000-1011-1000",1.71055352951298e-09,29.1228896019386
"0000-0000-1011-1001",3.80956972625416e-09,27.9677247929747
"0000-0000-1011-1010",2.45310163678105e-09,28.6027458451856
"0000-0000-1011-1011",1.34873321335574e-09,29.465747850276
