unique_id,date,time,trialCount,target,chosen,right,same,diff,startTime,endTime
svbhq,3/11/19,18:10,1,grid24_6_5.jpeg,img2,Img2,grid24_6_6.jpeg,grid25_6_6.jpeg,0.452847222,0
svbhq,3/11/19,18:10,2,grid16_6_3.jpeg,img2,Img1,grid16_6_5.jpeg,grid34_6_5.jpeg,0.461226852,0.461226852
svbhq,3/11/19,18:10,3,grid29_6_2.jpeg,img1,Img2,grid29_6_6.jpeg,grid28_6_6.jpeg,0.459421296,0.45943287
svbhq,3/11/19,18:10,4,grid35_6_3.jpeg,img1,Img1,grid35_6_6.jpeg,grid3_6_6.jpeg,0.467175926,0.467175926
svbhq,3/11/19,18:10,5,grid26_6_1.jpeg,img2,Img2,grid26_6_2.jpeg,grid8_6_2.jpeg,0.466666667,0.466678241
svbhq,3/11/19,18:10,6,grid37_6_3.jpeg,img1,Img1,grid37_6_6.jpeg,grid30_6_6.jpeg,0.471782407,0.471782407
svbhq,3/11/19,18:10,7,grid2_6_6.jpeg,img1,Img1,grid2_6_1.jpeg,grid40_6_1.jpeg,0.477291667,0.477303241
svbhq,3/11/19,18:10,8,grid27_6_2.jpeg,img2,Img2,grid27_6_1.jpeg,grid8_6_1.jpeg,0.478587963,0.478587963
svbhq,3/11/19,18:10,9,grid33_6_2.jpeg,img1,Img1,grid33_6_5.jpeg,grid40_6_5.jpeg,0.483043981,0.483043981
mlwwps,3/11/19,15:11,1,grid5_6_5.jpeg,img1,Img1,grid5_6_3.jpeg,grid16_6_3.jpeg,0.489421296,0
svbhq,3/11/19,18:10,10,grid9_6_4.jpeg,img1,Img1,grid33_6_5.jpeg,grid40_6_5.jpeg,0.486134259,0.486134259
svbhq,3/11/19,18:10,11,grid39_6_2.jpeg,img2,Img1,grid39_6_4.jpeg,grid14_6_4.jpeg,0.483668981,0.483668981
mlwwps,3/11/19,15:11,2,grid4_6_6.jpeg,img1,Img1,grid4_6_4.jpeg,grid15_6_4.jpeg,0.489675926,0.489675926
svbhq,3/11/19,18:10,12,grid24_6_4.jpeg,img2,Img2,grid24_6_5.jpeg,grid11_6_5.jpeg,0.487280093,0.487280093
mlwwps,3/11/19,15:11,3,grid23_6_3.jpeg,img2,Img2,grid23_6_5.jpeg,grid18_6_5.jpeg,11:42:052,11:42:052
svbhq,3/11/19,18:10,13,grid15_6_3.jpeg,img2,Img2,grid15_6_4.jpeg,grid5_6_4.jpeg,0.496770833,0.496782407
mlwwps,3/11/19,15:11,4,grid5_6_4.jpeg,img1,Img1,grid5_6_5.jpeg,grid41_6_5.jpeg,11:46:051,11:46:052
svbhq,3/11/19,18:10,14,grid20_6_1.jpeg,img1,Img1,grid20_6_3.jpeg,grid2_6_3.jpeg,0.491539352,0.491550926
mlwwps,3/11/19,15:11,5,grid31_6_5.jpeg,img2,Img2,grid31_6_4.jpeg,grid8_6_4.jpeg,0.495763889,0.495775463
yevrlg,3/11/19,18:11,1,grid30_6_1.jpeg,img1,Img1,grid30_6_5.jpeg,grid8_6_5.jpeg,0.501550926,0
svbhq,3/11/19,18:10,15,grid38_6_5.jpeg,img1,Img1,grid38_6_4.jpeg,grid32_6_4.jpeg,0.495439815,0.495439815
mlwwps,3/11/19,15:11,6,grid25_6_3.jpeg,img2,Img1,grid25_6_4.jpeg,grid41_6_4.jpeg,0.504953704,0.504953704
yevrlg,3/11/19,18:11,2,grid28_6_5.jpeg,img1,Img1,grid28_6_6.jpeg,grid19_6_6.jpeg,0.505324074,0.505347222
svbhq,3/11/19,18:10,16,grid19_6_3.jpeg,img1,Img1,grid19_6_4.jpeg,grid25_6_4.jpeg,0.498263889,0.498263889
mlwwps,3/11/19,15:11,7,grid38_6_5.jpeg,img1,Img2,grid38_6_6.jpeg,grid37_6_6.jpeg,11:59:028,11:59:028
yevrlg,3/11/19,18:11,3,grid20_6_4.jpeg,img2,Img2,grid20_6_3.jpeg,grid5_6_3.jpeg,0.500115741,0.500138889
svbhq,3/11/19,18:10,17,grid15_6_5.jpeg,img2,Img2,grid15_6_6.jpeg,grid25_6_6.jpeg,0.500555556,0.500555556
mlwwps,3/11/19,15:11,8,grid32_6_3.jpeg,img2,Img2,grid32_6_1.jpeg,grid11_6_1.jpeg,12:03:036,12:03:036
yevrlg,3/11/19,18:11,4,grid2_6_3.jpeg,img1,Img1,grid2_6_5.jpeg,grid10_6_5.jpeg,0.503877315,0.503888889
svbhq,3/11/19,18:10,18,grid37_6_4.jpeg,img2,Img2,grid37_6_5.jpeg,grid18_6_5.jpeg,0.506956019,0.506967593
mlwwps,3/11/19,15:11,9,grid22_6_2.jpeg,img1,Img1,grid22_6_3.jpeg,grid29_6_3.jpeg,12:07:046,12:07:046
yevrlg,3/11/19,18:11,5,grid12_6_1.jpeg,img2,Img1,grid12_6_2.jpeg,grid35_6_2.jpeg,0.515324074,0.515335648
mlwwps,3/11/19,15:11,10,grid35_6_6.jpeg,img1,Img1,grid22_6_3.jpeg,grid29_6_3.jpeg,0.516631944,0.516631944
svbhq,3/11/19,18:10,19,grid19_6_2.jpeg,img2,Img2,grid19_6_5.jpeg,grid8_6_5.jpeg,0.506712963,0.506712963
svbhq,3/11/19,18:10,20,grid11_6_6.jpeg,img1,Img2,grid19_6_5.jpeg,grid8_6_5.jpeg,0.508865741,0.508865741
mlwwps,3/11/19,15:11,11,grid28_6_1.jpeg,img2,Img2,grid28_6_5.jpeg,grid41_6_5.jpeg,12:16:087,12:16:087
yevrlg,3/11/19,18:11,6,grid4_6_2.jpeg,img1,Img2,grid4_6_3.jpeg,grid9_6_3.jpeg,12:12:043,12:12:044
mlwwps,3/11/19,15:11,12,grid14_6_3.jpeg,img2,Img2,grid14_6_1.jpeg,grid25_6_1.jpeg,0.517037037,0.517048611
svbhq,3/11/19,18:10,21,grid32_6_2.jpeg,img2,Img2,grid32_6_4.jpeg,grid36_6_4.jpeg,0.512407407,0.512407407
yevrlg,3/11/19,18:11,7,grid23_6_5.jpeg,img2,Img1,grid23_6_1.jpeg,grid15_6_1.jpeg,0.520960648,0.520972222
